Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
-0.60665066,0.8141305,-0.32842139,0.39045741,0.106770003,-0.624442911,0.446550931,-0.238636359
3.16484388,-2.11551062,3.025047849,-0.37348462,3.314751749,1.455081658,-2.706429601,-0.238636359
1.27909661,-1.13896358,1.231839286,0.0502335,0.106770003,0.140567049,-0.686712882,-0.238636359
-0.60665066,-0.16241654,-0.849220947,0.0502335,0.106770003,-0.917692181,-0.20462297,-0.238636359
-3.11147957,2.57631092,-0.991008786,0.22034546,0.106770003,-1.653997587,2.040763989,0.761363641
0.10390729,-0.16241654,-0.89648356,0.39045741,0.106770003,-0.568724444,-0.443745942,-0.238636359
0.27324902,0.22424406,-0.849220947,0.81417553,-0.100150387,0.182837132,0.446550931,-0.238636359
-0.60665066,-0.16241654,0.388711853,-0.20337267,0.106770003,-0.449104831,0.034500002,-0.238636359
-0.60665066,0.02849711,-0.849220947,-0.96731469,-3.411592328,-1.434813529,0.759556855,-0.238636359
-0.60665066,1.79067754,-0.943746173,-0.11987845,0.106770003,-0.354882146,1.984177736,-0.238636359
-5.70778479,2.76722458,-0.943746173,0.47395162,-0.513991167,-2.154555398,1.623571294,-0.238636359
-2.55537188,-0.35816349,0.556465482,-0.28999041,0.106770003,-1.194726357,-0.686712882,-0.238636359
1.83520429,-1.13896358,2.080111956,0.47395162,0.106770003,0.55438219,-1.863733246,-0.238636359
-1.38018257,1.01735633,-0.801958333,0.47395162,0.500061884,-0.196467928,-0.322262472,-0.238636359
-0.60665066,2.76722458,-0.991008786,0.81417553,0.106770003,2.587923068,2.040763989,0.761363641
-0.60665066,-0.16241654,0.095714946,0.0502335,-1.300574929,0.116404275,-0.130740018,-0.238636359
0.01243097,-0.16241654,0.472588668,0.22034546,2.114327206,0.574980096,0.611790951,-0.238636359
0.10390729,-0.16241654,-0.801958333,0.81417553,0.106770003,-0.387910963,-0.399989392,-0.238636359
-0.60665066,-0.16241654,-0.89648356,0.22034546,0.106770003,-0.172471864,1.575970776,-0.238636359
-5.55333452,2.76722458,-0.991008786,0.30383967,0.003309808,-2.381497847,2.032453025,2.761363641
