Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
-0.8167266,1.16817975,0.50604047,0.25239097,1,0.2698146267,-0.335163149,3.168604666
4.26643504,-3.3653123,2.255473753,0.42721678,-1.5,1.441412034,-2.916504061,-1.831395334
-2.85299119,2.13239864,-1.467492919,0.42721678,-4,-0.3251620411,1.358940405,0.168604666
-0.13797174,0.34776207,-1.40928973,0.42721678,0,1.0601044019,1.208705669,0.168604666
-0.8167266,0.20396085,-0.836210482,0.42721678,0,-0.5090794251,0.60485521,1.168604666
-0.8167266,1.16817975,-0.962511484,0.04845487,-2.5,-0.2961860753,0.609539221,3.168604666
4.05188714,-2.98885718,2.840353985,-0.21378383,4.5,1.3996581466,-1.357495949,-0.831395334
-0.8167266,-0.2400017,-0.083314166,0.42721678,-1,-0.6124838198,-0.460452424,-0.831395334
-0.60517776,0.86801841,-1.134747041,-0.41771993,-0.5,0.1582278997,0.464172463,1.168604666
-0.8167266,1.16817975,-1.40928973,-0.03895803,0,-0.1063342422,-0.701279504,-1.831395334
-0.85783588,-0.47265561,-1.021735317,0.04845487,-2,-0.7988197329,-0.10951638,0.168604666
-0.8167266,-0.76025805,-1.462513976,-0.70906894,0,-1.3354977997,-0.362770681,-1.831395334
-0.8167266,-0.76025805,0.59590632,-0.79648184,0,-0.1591449293,-0.788735886,1.168604666
-0.8167266,2.13239864,-1.462513976,0.25239097,-2.5,0.0878012091,1.123047399,0.168604666
-0.8167266,-0.76025805,-1.40928973,-0.03895803,-2,-0.3796934622,-0.622511062,-1.831395334
-0.8167266,-0.61645683,-1.467492919,0.33980388,-2,-1.0930580189,0.609759571,-0.831395334
-1.53659074,2.13239864,-1.247758765,0.42721678,0,0.5368162724,0.8544961,2.168604666
-0.60517776,0.86801841,-1.213937013,0.42721678,-1.5,-0.5972936648,-0.666648916,1.168604666
4.77175127,-3.65291474,4.312327813,-0.30119674,1,1.3544172875,-2.405426648,-1.831395334
-0.8167266,-0.3288544,-1.155158073,-0.50513284,-3,-1.0361223811,0.113251632,1.168604666
2.40061002,-1.36058072,1.475701656,-0.03895803,3.5,0.6658905466,-1.078203513,-1.831395334
3.84033829,-2.68869584,3.436032919,-1.35006955,-2,1.4407636912,-0.484185997,1.168604666
-0.8167266,-0.76025805,-0.771489788,-0.70906894,-5.5,-0.8630757718,1.029961414,-0.831395334
-0.34952058,1.6121423,-1.471609299,0.33980388,0,0.120409084,0.996627621,1.168604666
-0.56406849,1.98859742,2.160661166,-0.03895803,0,0.302208762,0.413663443,0.168604666
4.01377693,-3.65291474,1.392629637,0.42721678,1,1.1143944929,-1.843500829,-1.831395334
-3.35830742,2.13239864,-1.568962467,0.42721678,0,-1.1425254094,1.01314762,-1.831395334
4.77175127,-3.65291474,3.922914732,0.04845487,4,1.2696384056,-2.325764046,-1.831395334
-0.8167266,2.13239864,-1.540231561,-0.97130764,-4.5,-0.9791043987,-1.322717711,-1.831395334
-0.8167266,-0.76025805,-1.383457737,0.42721678,-5,-0.8544980032,0.879694848,2.168604666
-0.8167266,1.16817975,-0.771489788,-0.03895803,-3.5,-0.4503242387,-0.850677856,1.168604666
1.97751233,-0.76025805,1.717012063,0.42721678,1.5,1.085058876,-0.939401113,-1.831395334
4.77175127,-3.65291474,4.228317175,0.16497807,0.5,1.1206760122,-3.369492247,-1.831395334
1.97751233,-0.76025805,-1.462513976,0.25239097,2,0.9939457908,1.175970029,1.168604666
-1.32204283,-0.47265561,-1.212645373,-0.79648184,-0.5,-2.2062374452,0.464172463,1.168604666
0.36734449,-0.90405927,1.552457673,-0.12637093,0.5,-0.3388002138,-0.523957753,-0.831395334
-0.8167266,2.13239864,-1.460000813,-0.03895803,-3,0.4100621336,1.308390478,1.168604666
0.57889333,-1.2042206,1.989599839,0.42721678,3.5,0.5420926013,0.458933253,-1.831395334
1.97751233,-0.76025805,1.422417447,-0.79648184,0.5,0.9375739503,0.10599832,-1.831395334
2.19206024,-1.58067573,2.366642291,-0.03895803,1,0.9654668079,-0.462112185,-1.831395334
-0.13797174,-1.28051439,-0.201341561,0.42721678,1,-0.0500053691,-0.399380344,-0.831395334
-0.35251964,-0.90405927,0.375327774,0.33980388,0,-0.4035057537,-0.799391805,-1.831395334
-0.8167266,0.20396085,-1.129363808,0.42721678,0,-0.5614540418,1.110162134,0.168604666
-0.8167266,-0.76025805,-0.468206123,-0.50513284,-4,-1.3575242535,0.032364963,-0.831395334
-0.8167266,2.13239864,-1.460000813,0.16497807,-3,0.5311368116,1.122218506,-0.831395334
1.72485422,-0.61645683,2.10053791,0.33980388,0.5,0.9484129186,0.282481496,-1.831395334
-0.8167266,0.50412218,-1.470140477,-1.26265664,-1.5,-1.0882417383,0.920890528,-1.831395334
-0.8167266,-0.76025805,-1.568962467,-0.12637093,-2,-1.2563738421,-0.251078603,-0.831395334
-0.13797174,-1.58067573,0.713961538,-0.50513284,-0.5,-1.1395548676,-1.388655383,-1.831395334
-0.8167266,1.98859742,-1.467492919,0.25239097,0,-0.5268391232,0.700315236,-0.831395334
0.11468638,0.50412218,-0.50498095,-0.03895803,-0.5,-0.3053997,-0.199669359,0.168604666
2.6562672,-2.54489462,0.027465347,-0.41771993,0,-0.4288486953,-0.869210163,-1.831395334
-0.8167266,2.13239864,-1.568962467,0.25239097,-1.5,-0.5496743242,-0.038300665,0.168604666
-0.8167266,2.13239864,1.552457673,-0.21378383,-1,0.0611599606,-0.898952639,2.168604666
1.8040737,-2.68869584,0.437081156,0.33980388,0.5,1.0903754734,-0.058137839,-1.831395334
-0.8167266,-0.76025805,1.338457132,-0.21378383,0,-1.0773002509,-0.337363706,-0.831395334
