Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
-0.80131244,0.99518785,-0.419025927,0.50938173,-0.1031962,-0.1281536598,-0.86245483,-0.2081448
1.64178257,-0.71371383,0.35850866,0.48418529,0.21636966,1.2370346975,-0.95842886,-0.2081448
0.58227109,-1.26732643,1.015395922,0.09092549,-0.78645882,0.1243339103,0.0347024,-0.2081448
-2.2606175,-0.02950075,-0.419025927,0.27495717,3.51703069,-2.2468499373,-0.95842886,-0.2081448
1.02112148,-0.71371383,-0.419025927,-0.69559411,1.1035461,0.8200684718,1.32685798,-0.2081448
0.47424707,-0.29884008,2.479470823,-0.90482223,-2.67646373,0.2243137256,-0.7664808,-0.2081448
-1.20254833,0.25477253,0.590519646,0.09092549,2.31028839,-0.1345011623,0.03466026,-0.2081448
0.54803375,-0.94178485,-0.310698981,-0.48636599,1.26332903,0.4138168332,0.52571691,-0.2081448
-2.15065863,0.25477253,-0.382916945,-0.90482223,-1.46972143,-0.2416232114,-0.95842886,-0.2081448
1.09490816,-0.94178485,-0.419025927,0.30015361,-3.19994341,0.6101343506,-0.95842886,-0.2081448
-2.58950902,0.62837797,-0.238481018,-0.51156243,-3.51950927,-1.0701923648,0.2266926,-0.2081448
-0.80131244,1.9636742,-0.419025927,0.90264153,-0.1031962,1.1841801506,0.02355803,-0.2081448
-2.15065863,1.22325888,-0.419025927,-0.90482223,-3.19994341,-0.5345563749,-0.46741435,-0.2081448
1.20293218,-0.71371383,-0.310698981,-0.11830263,-0.26297913,-0.1955447468,-0.86245483,-0.2081448
-0.25443803,1.22325888,0.229688893,0.30015361,1.26332903,0.4974528505,-0.37148245,-0.2081448
0.69367227,-0.71371383,-0.382916945,-0.90482223,-0.78645882,-0.8281710515,-0.67050677,-0.2081448
-1.82320942,0.66964627,-0.310698981,0.30015361,0.58006641,-1.4848305929,-0.56338837,-0.2081448
-0.80131244,0.25477253,-0.419025927,0.48418529,-4.08711985,1.0213689966,-0.47855871,-0.2081448
-4.99498954,2.19174523,-0.382916945,-0.90482223,-1.46972143,-1.258277639,0.0347024,-0.2081448
0.54803375,-1.16985588,-0.382916945,0.50938173,0.58006641,-2.0682526357,-0.7664808,-0.2081448
2.22820632,-3.16303083,4.066501041,-1.29808203,-0.30711002,-0.2890753561,1.61176532,5.7918552
-0.40201139,0.71091458,3.473659301,0.06572904,0.89963227,0.3346708005,1.82897472,-0.2081448
-1.09452431,0.66964627,-0.310698981,-1.29808203,-0.26297913,-1.1418189531,1.12376555,-0.2081448
-1.20254833,0.25477253,-0.310698981,-0.09310619,-0.78645882,-0.3875775729,1.62592444,-0.2081448
-1.20254833,2.19174523,-0.274589999,-1.50731015,-2.31276697,-2.5578557195,1.09234713,4.7918552
-2.37008383,0.25477253,-0.419025927,-0.48636599,0.26050055,-1.4215710207,-0.26436406,-0.2081448
-0.32822471,-0.71371383,-0.419025927,-0.30233431,2.62985425,-0.7876186009,-0.95842886,-0.2081448
-2.47810785,1.03645616,-0.419025927,-0.27713787,-2.5166808,-0.7644245732,-0.34927799,-0.2081448
1.42235737,-0.52691111,0.475008048,0.09092549,1.94659164,0.7367750882,-0.35409673,0.7918552
0.36622306,0.80838513,-0.382916945,0.09092549,3.51703069,1.2838983673,0.2266926,-0.2081448
0.69367227,-0.71371383,0.005850348,0.50938173,3.15333394,-0.3989325101,-0.56338837,-0.2081448
-2.15065863,1.22325888,-0.419025927,-0.11830263,-1.46972143,-0.5037083581,-0.95842886,-0.2081448
0.14679786,1.18199057,-0.310698981,0.50938173,-0.62667589,1.2838983673,0.2266926,-0.2081448
-1.34818685,1.22325888,-0.419025927,-0.51156243,-0.1031962,-1.536281363,-0.57453274,-0.2081448
2.58989287,-0.71371383,-0.419025927,0.90264153,-5.613428,1.2918435536,-0.95842886,-0.2081448
-4.04687924,2.19174523,-0.419025927,0.27495717,-1.46972143,-0.1897357602,-0.38258468,-0.2081448
0.47424707,0.44157525,-0.419025927,-0.11830263,1.94659164,0.965058347,-0.57453274,-0.2081448
-0.87509912,0.44157525,-0.419025927,0.09092549,2.47007132,0.7492649744,-0.07237386,-0.2081448
-1.02073763,1.50753215,-0.419025927,0.30015361,-1.3099385,0.1208124316,0.51461468,-0.2081448
-0.25443803,-0.71371383,-0.382916945,0.48418529,-0.78645882,1.2918435536,-0.46741435,-0.2081448
2.58989287,-0.71371383,-0.310698981,0.50938173,-0.78645882,1.125000378,0.2266926,-0.2081448
3.75742837,-2.65068653,0.157470929,0.69341341,2.47007132,0.3887486721,0.23779483,-0.2081448
2.58989287,-2.46388381,-0.419025927,0.30015361,6.72942994,0.7080369904,-0.86245483,-0.2081448
